epoch,acc,loss,val_acc,val_loss
0,0.852054225009,0.337340811953,0.809445360118,0.401229733756
1,0.872188154244,0.300696233881,0.828116419975,0.379549367751
2,0.882017550374,0.283532794547,0.829214717319,0.378958054668
3,0.890065182855,0.269391644892,0.827567270861,0.372809091533
4,0.896999213056,0.256235628868,0.829763866139,0.374777388353
5,0.903279929918,0.2446161951,0.830313014958,0.375004652566
6,0.908818245264,0.233829874304,0.833607907874,0.378598519189
7,0.913777487417,0.224368603223,0.829214717614,0.375741067036
8,0.918499161086,0.215741944698,0.830313014663,0.377502253166
9,0.922805089906,0.207676945971,0.826468973223,0.374657867375
10,0.926428009326,0.20065384811,0.828665568795,0.374677539297
11,0.929575791773,0.193989260489,0.8286655685,0.376394927764
12,0.93204056482,0.188009455412,0.8286655685,0.381493730803
13,0.934490489837,0.182401158132,0.828665568795,0.377907893901
14,0.936999806976,0.177127226141,0.827567270861,0.380643354085
15,0.939345795781,0.172580133848,0.82866556814,0.38271880212
16,0.940919687004,0.168267451761,0.833058759349,0.379419497053
17,0.943592332478,0.16391928727,0.828116419681,0.38350279923
18,0.945002895367,0.160189635325,0.829214717614,0.379855346837
19,0.946264977953,0.156518274919,0.827018121682,0.384638567929
