epoch,acc,loss,val_acc,val_loss
0,0.85246996986,0.337980003808,0.833607907808,0.373736932342
1,0.869188852101,0.304942751242,0.831960461056,0.371425801617
2,0.874742015473,0.29447180669,0.836902800724,0.356385330146
3,0.877563141252,0.287332528279,0.84019769364,0.356235178223
4,0.880740619759,0.281474702501,0.84074684246,0.355544435232
5,0.883546897506,0.276566085773,0.841295990984,0.356538240315
6,0.885625621762,0.272154343209,0.833607907874,0.369150158895
7,0.887867674355,0.268023841723,0.844041735376,0.353698321141
8,0.889872158461,0.264369638849,0.841845139804,0.358135251947
9,0.892426019691,0.260888870915,0.845689181834,0.354471998922
10,0.893762342425,0.257466111243,0.850631520913,0.352100603254
11,0.895885610778,0.254274356844,0.848434925636,0.351703210053
12,0.897103149267,0.251052373031,0.845689181539,0.35413984186
13,0.898142511397,0.248192396521,0.847885776816,0.354274278008
14,0.900146995503,0.245230852796,0.842943438097,0.355617467827
15,0.901780278846,0.242297148633,0.841845139804,0.351294751451
16,0.902700856736,0.239614936686,0.847885777177,0.355896614054
17,0.904497468414,0.236702335524,0.846787479832,0.353429526238
18,0.906056511605,0.234130430966,0.844041735441,0.359041036992
19,0.907407682374,0.231501123577,0.841295991345,0.359956905319
