epoch,acc,loss,val_acc,val_loss
0,0.833687212307,0.371093704175,0.812191103691,0.390826267538
1,0.860027618138,0.31767674225,0.806150471948,0.406354405145
2,0.870139127164,0.298035715202,0.818231734452,0.392050847583
3,0.877681923715,0.283278322977,0.829763855697,0.391676261326
4,0.883814161364,0.271358875814,0.825370682425,0.396019553791
5,0.888773401095,0.260760692352,0.8121911032,0.417600137103
6,0.893955363198,0.251569377805,0.827018114219,0.400860405603
7,0.898365228231,0.243235465064,0.825370669332,0.401993151781
8,0.902062388875,0.235667827244,0.825919817628,0.40551195015
9,0.906294080093,0.228642059006,0.8226249344,0.411345256514
