epoch,acc,loss,val_acc,val_loss
0,0.828059810786,0.382362742095,0.813838554633,0.397968392068
1,0.848253129172,0.340683019241,0.805601324143,0.408052435948
2,0.857369820835,0.324979029522,0.814936845169,0.395279388648
3,0.863353576697,0.312695552388,0.817682592703,0.396622174425
4,0.868921588857,0.301826077659,0.812740258533,0.401615732944
5,0.873910525947,0.29214690904,0.810543658804,0.407776898535
6,0.878557958927,0.283486746623,0.813289400282,0.413437603628
7,0.882819341214,0.275659015454,0.804503021006,0.427403652622
8,0.886115604063,0.268578585564,0.809994509526,0.424438304229
9,0.88911490609,0.262094091234,0.808347065131,0.426709964372
