epoch,acc,loss,val_acc,val_loss
0,0.832499368663,0.373930040706,0.815485993465,0.391083255304
1,0.860131555359,0.31807986981,0.82097747593,0.401516622073
2,0.870005493859,0.29790051414,0.826468965923,0.389434363278
3,0.878483717735,0.283457601124,0.830313010539,0.389666744898
4,0.884987154741,0.270907183166,0.816584290056,0.408598453412
5,0.889471260518,0.260363783508,0.825370662786,0.400486649196
6,0.893658403356,0.250849746017,0.81987917983,0.40690738385
7,0.898068268606,0.242531747528,0.829763862244,0.396190611037
8,0.902032693596,0.234743087697,0.835255358292,0.399793185879
9,0.904824124985,0.227826852323,0.821526637809,0.410451906157
