epoch,acc,loss,val_acc,val_loss
0,0.833746603444,0.373806240985,0.816584283019,0.394899410674
1,0.859507937882,0.319677445372,0.805601316615,0.411078944663
2,0.869753078249,0.299909212679,0.821526631263,0.39693188975
3,0.876761344976,0.285288710842,0.825919817628,0.394211500965
4,0.882952975099,0.273365208274,0.830862165381,0.395572163782
5,0.887303447792,0.263231812623,0.828665565652,0.398893396976
6,0.893212961765,0.25416752677,0.829763862244,0.40086059643
7,0.896583465076,0.246039331868,0.82646897247,0.408722105228
8,0.900176688063,0.238635719153,0.82646897247,0.40498487063
9,0.902982967652,0.231859309539,0.827567269061,0.408586541353
