epoch,acc,loss,val_acc,val_loss
0,0.835172014508,0.370608696193,0.818231740998,0.392041337549
1,0.860057315056,0.318175726441,0.794618344647,0.426667986336
2,0.870703350807,0.298207147711,0.825370669332,0.384144730976
3,0.878364933962,0.28364998004,0.827018120765,0.390568067941
4,0.885046548135,0.271183345085,0.831411320223,0.390503897698
5,0.889486106934,0.26049773488,0.823174069603,0.400923500835
6,0.893925667606,0.25106840845,0.828665565652,0.39739477078
7,0.898721581314,0.242634962733,0.825919817628,0.406243097023
8,0.901720884761,0.235082633926,0.824821527583,0.40441662335
9,0.905551677646,0.22819443072,0.825919830721,0.405032945851
